Nama,Provinsi,Lokasi,Jam
Gramedia Banda Aceh,ACEH,"Jl. T. Panglima Nyak Makam, Ie Masen Kaye Adang, Kec. Syiah Kuala, Kota Banda Aceh, Aceh 24415","Senin – Minggu, pukul 09:00 – 22:00"
Gramedia Padang Damar,SUMATERA BARAT,"Jl. Damar No.63, Olo, Kec. Padang Bar., Kota Padang, Sumatera Barat 25116","Senin – Minggu, pukul 09:00 – 21:00"
Gramedia Pangkal Pinang,KEPULAUAN BANGKA BELITUNG,"Jl. Toniwen No.40 Kel, Bintang, Kec. Rangkui, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33684","Senin – Minggu, pukul 09:00 – 21:00"
Gramedia Pekanbaru Mal SKA,RIAU,"Mall SKA Lantai 2F No. 29 – 32 Jl. Soekarno Hatta – Sidomulyo Barat Pekanbaru 28294 – Indonesia (depan matahari, Sidomulyo Tim., Kec. Marpoyan Damai, Kota Pekanbaru, Riau 28283","Senin – Minggu, pukul 10:00 – 21:00"
Gramedia Pekanbaru Sudirman,RIAU,"Jl. Jend. Sudirman No.245, Simpang Empat, Kec. Pekanbaru Kota, Kota Pekanbaru, Riau 28121","Senin – Minggu, pukul 09:00 – 21:00"
Gramedia Palembang Burlian,SUMATERA SELATAN,"KM. 7, Jl. Kol. H. Burlian Lorong Kawat No.48, Suka Bangun, Kec. Sukarami, Kota Palembang, Sumatera Selatan 30151","Senin – Minggu, pukul 09:00 – 21:00"
Gramedia Bengkulu Mega Mall,BENGKULU,"Mega Mall Lt. 2, Jl. K.Z. Abidin II, Belakang Pd., Kec. Ratu Samban, Kota Bengkulu, Bengkulu 38222","Senin – Minggu, pukul 09:30 – 21:00"
Gramedia Cilegon,BANTEN,"Jl. Simpang Tiga No.9-10, Ramanuju, Kec. Purwakarta, Kota Cilegon, Banten 42431","Senin – Minggu, pukul 10:00 – 21:00"
Gramedia Emerald Bintaro,BANTEN,"CBD Emerald CE/B, Jl. Boulevard Bintaro Jaya No.02, Parigi, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15227","Senin – Minggu, pukul 10:00 – 21:00"
Gramedia Cijantung,JAKARTA,"Mall Cijantung Lantai 3, Jalan Kesehatan No. 1, Duren Sawit, RT.1/RW.4, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13440","Senin – Minggu, pukul 10:00 – 21:00"
