Nama,Lokasi,Kontak,Parkir,Kategori,URL Tenant
5TH AVENUE,UG-61,02180633774,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=d254332652
A FUNG,1F-FOOD AV,,3 near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=212c2f776c
A&W,2F-59,,3 near Lift C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=15a66aa757
ABURA SOBA,1F-11,,2 / P3 near LOBBY LIFT C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=522ec73328
ADELLE JEWELLERY,G-80,02129111168,BASEMENT near LOBBY LIFT B,Jewellery,https://lippomallpuri.com/tenantDetail?tenant=86b602b20b
ALDO,UG-21,02122528825,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=aadd8d6823
Amazone,2F-23,,3 near Playtopia,Children Related,https://lippomallpuri.com/tenantDetail?tenant=b6bbb4664b
Anaku Educare,B-13,,B near Lobby Lift C,Children Related,https://lippomallpuri.com/tenantDetail?tenant=6203f0f36f
ANEKA CITRA SNACK,LG-K07B,,BASEMENT near LOBBY SAMSAT,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=fcf2444ce2
ARENA,2F-38,02129111172,3 near LOBBY LIFT B,"Electronics, Gadgets, HP",https://lippomallpuri.com/tenantDetail?tenant=bb203eb20e
ASUS,1F-63,Visit Tenant Official Website,3 near LOBBY LIFT A,"Electronics, Gadgets, HP",https://lippomallpuri.com/tenantDetail?tenant=0ed9a6d8ee
AUNTIE ANNE'S,LG-K10,02180633750,BASEMENT near LOBBY SAMSAT,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=2d57125f2f
AUNTIE ANNE'S,1F-K-03A,,3 near Lobby Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=6660017711
AVOCADO LOVERS,LG-FOOD HA,,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=2c66600502
BABY BAR,LG-K10B,,BASEMENT near LOBBY SAMSAT,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=a806206a80
BABY SHOP,UG-57,Visit Tenant Official Website,3 near LOBBY LIFT B,Children Related,https://lippomallpuri.com/tenantDetail?tenant=0b60ee6a66
BAKMI GM,1F-FOOD AV,,3 near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=ca9666689c
BAKMI GOCIT,LG-FOOD HA,Visit Tenant Official Website,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=6cf2bc4646
BALE LOMBOK,1F-51,Visit Tenant Official Website,2 / P3 near LOBBY LIFT C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=62c0208b2c
BAN BAN DESSERT,LG-IA11,Visit Tenant Official Website,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=0becc2765b
BARIUMA RAMEN,1F-98,02122582752,2 / P3 near LOBBY LIFT C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=26e9e2bab6
Baskin Robbins,LG-K-08 TA,,B near LOBBY LIFT A,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=226263d428
BATH&BODY WORKS,UG-78,02122582714,3 near LOBBY LIFT B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=588d882005
BATHAHOLIC,1F-52OS,Visit Tenant Official Website,3 near LOBBY LIFT B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=b6a20d2d25
BATIK KERIS,1F-23,02129111286,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=d26ded424d
BERSHKA,G-89,02122582872,BASEMENT near LOBBY LIFT C,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=4aaa54a654
BIEKOOBEE,UG-K09A,Visit Tenant Official Website,3 near LOBBY LIFT B,Jewellery,https://lippomallpuri.com/tenantDetail?tenant=b00ea722eb
BIGGBY COFFEE,G-82,,LG near Lobby Lift B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=99e6236269
Bijin Nabe,1F-99 & 10,,3 near Lift C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=b1100b1620
BIRKENSTOCK,UG-27,02122582844,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=eb5762b05b
BLIBLI,1F-88,,3 near Lobby Lift B,"Electronics, Gadgets, HP",https://lippomallpuri.com/tenantDetail?tenant=2ca9999c96
BOLDE,LG-100,Visit Tenant Official Website,BASEMENT near LOBBY SAMSAT,Home Related,https://lippomallpuri.com/tenantDetail?tenant=027b7ee671
BONVIVO LAUNDRY,LG-76B,02129111109,LG near LOBBY LADIES PARKING,Services,https://lippomallpuri.com/tenantDetail?tenant=0694480090
BOOST JUICE BAR,LG-IA11,Visit Tenant Official Website,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=20e40e6620
BORNGA,2F-53,02129111356,3 near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=2cc5c9299c
BREXIT,B-10,,BASEMENT near LOBBY TEKO,Services,https://lippomallpuri.com/tenantDetail?tenant=1f7ef61fff
BRIDGES,1F-20,Visit Tenant Official Website,3 near LOBBY LIFT B,Watches & Optics,https://lippomallpuri.com/tenantDetail?tenant=2210601ed0
