Nama,Produk,Kontak,WhatsApp,Lokasi,Lantai,Lokasi Parkir,Link Toko,Link Gambar
 Tommy Hilfiger ,Iconic Fashion. Modern Americana,021-45878524,https://api.whatsapp.com/send?phone=087888377852,MKG-3,Lantai 1,,https://www.malkelapagading.com/directory/tommy-hilfiger,http://images.malkelapagading.com/tenant/Tommy-Hilfigerlogo-65.jpg
3MONGKIS ,Women Fashion,02145848975,,MKG-3,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/3mongkis,http://images.malkelapagading.com/tenant/MONGKISlogo.jpg
7hundredmL ,Wine and Others,0214529709,,Gading Walk,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/7hundredml-mall-kelapa-gading,http://images.malkelapagading.com/tenant/hundredmLlogo-93.jpg
A & W ,"Root Beer, Burger, Hand Breaded Chicken Tender, Hotdog, Fries, Sundaes, Waffles",0214533442,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/a-and-w-restaurant,http://images.malkelapagading.com/tenant/A-W-Restaurantlogo1.jpg
A Fung Baso Sapi ,"Baso Sapi kuah, Tahu Baso",02145853579,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/a-fung-baso-sapi,http://images.malkelapagading.com/tenant/A-Fung-Baso-Sapilogo.jpg
"A. VE, RE. RW ","Salon, produk perawatan rambut",02145878287,,MKG-2,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/a-ve-re-rw,http://images.malkelapagading.com/tenant/Punk-Q-Salonlogo1.jpg
ACAII Tea ,Healthy Tea,,,,,,https://www.malkelapagading.com/directory/acaii-tea,http://images.malkelapagading.com/tenant/ACAII-Tealogo-75.jpg
Adelle Jewellery ,"Perhiasan, Premiere Jewellery, House of Jewellery Design",02145853788,,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/adelle-jewellery,http://images.malkelapagading.com/tenant/Adelle-Jewellerylogo.jpg
Adidas ,"Sepatu & perlengkapan dari berbagai bidang olahraga, seperti lari, tenis, basket, sepak bola, bersepeda, golf, dan lain-lain.",02145853991,https://api.whatsapp.com/send?phone=6287768135904,MKG-3,Lantai Dasar,Gedung Parkir 3,https://www.malkelapagading.com/directory/adidas,http://images.malkelapagading.com/tenant/Adidaslogo3.jpg
ALDO ,"Shoes, boots, sandals, handbag, accessories",0214533382,,MKG-2,Lantai 1,Gedung Parkir 2 Lantai 2 P2,https://www.malkelapagading.com/directory/aldo,http://images.malkelapagading.com/tenant/ALDOlogo.jpg
