ID,State,Type,Address,Price,Bedroom,Bathroom,Parking
438353372,QLD,House,"2 Condor Rd, Coorparoo",Contact Agent,3 bedrooms,1 bathroom,2 parking spaces
438353368,QLD,Townhouse,"4/21 Charles Street, Caboolture",$460 per Week Plus Water,3 bedrooms,2 bathrooms,1 parking space
438353364,QLD,House,"11 Bryant Street, Ashgrove",Contact Agent,5 bedrooms,3 bathrooms,2 parking spaces
438353352,QLD,Townhouse,"4/34 Bridgewater Street, Morningside",$725 per week,3 bedrooms,2 bathrooms,1 parking space
438353316,QLD,House,"74 Valley Circuit, Kuraby",$920 pw,4 bedrooms,3 bathrooms,2 parking spaces
438353296,QLD,Unit,"7/37 Aspland Street, Nambour",$359 per week,2 bedrooms,2 bathrooms,1 parking space
438353292,QLD,House,"107 Albany Street, Sippy Downs",$700 per week,3 bedrooms,2 bathrooms,2 parking spaces
438353268,QLD,House,"7 Skua Street, Burleigh Waters","$1,250 per week",3 bedrooms,1 bathroom,1 parking space
438353264,QLD,House,"7 Skua Street, Burleigh Waters","$1,250 per week",3 bedrooms,1 bathroom,1 parking space
438353256,QLD,Unit,"1/38 Ruth Street, Highgate Hill",$375 per week,1 bedroom,1 bathroom,1 parking space
438353240,QLD,House,"7/367 Esplanade, Scarness",$680 per week,3 bedrooms,2 bathrooms,1 parking space
438353244,QLD,House,"11 Karrong Court, Kirwan",$570 per week,4 bedrooms,2 bathrooms,2 parking spaces
438353232,QLD,House,"3 MAYFAIR PLACE, Boondall",$750 per week,3 bedrooms,1 bathroom,2 parking spaces
438353224,QLD,Unit,"17/319 Angus Smith Drive, Douglas",$420 per week,2 bedrooms,1 bathroom,1 parking space
438353200,QLD,Unit,"2/61a Rome St, Newtown",$450/week,2 bedrooms,2 bathrooms,1 parking space
438353188,QLD,Unit,"4/46 Coolangatta Road, Kirra",$525 per week,2 bedrooms,1 bathroom,1 parking space
438353164,QLD,Unit,"2/48 Cortis Street, Mount Gravatt",$320 per week,1 bedroom,1 bathroom,1 parking space
438353152,QLD,House,"13 Glengarry Lane, Raceview",$550,4 bedrooms,2 bathrooms,4 parking spaces
438353144,QLD,House,"65 Namba Circuit, Yarrabilba",$680 pw,4 bedrooms,2 bathrooms,2 parking spaces
438353136,QLD,House,"361 Severin Street, Parramatta Park",$600 pw,3 bedrooms,1 bathroom,2 parking spaces
438353108,QLD,House,"3/10-16 Genoa Street, Surfers Paradise",$420 Per Week,1 bedroom,1 bathroom,1 parking space
438353088,QLD,Duplex/Semi-detached,"16a Cato Court, Torquay",$550/week Book Online 24/7,3 bedrooms,2 bathrooms,
438353084,QLD,House,"11 Francene Place, Birkdale",$1050.00,7 bedrooms,3 bathrooms,5 parking spaces
438353040,QLD,House,"55 Northshore Circuit, Idalia",$550 per week,4 bedrooms,2 bathrooms,2 parking spaces
438353036,QLD,Apartment,"8 Harbour Rd, Hamilton",$550 Per Week,1 bedroom,1 bathroom,
438353024,QLD,Studio,"15B Rivendell Dr, Coolum Beach",$400 per week,1 bedroom,1 bathroom,1 parking space
438353016,QLD,House,"1/27 Monmouth Street, Eagleby",$550 per week,2 bedrooms,1 bathroom,1 parking space
438353008,QLD,House,"46/12 Handel Avenue, Worongary","$2,100 per week",5 bedrooms,4 bathrooms,2 parking spaces
438352952,QLD,House,"47 Brock Drive, Springfield Lakes",$530 PW | EASY ACCESS TO ORION SPRINGFIELD CENTRE,3 bedrooms,2 bathrooms,1 parking space
438352932,QLD,House,"50 Glengrove Circuit, Mango Hill",$640 per week,4 bedrooms,2 bathrooms,2 parking spaces
438352912,QLD,House,"2 Garner Street, Everton Park",$675 / Wk,3 bedrooms,1 bathroom,2 parking spaces
438352908,QLD,Unit,"4/36 Bayswater Road, Hyde Park",$370 p/w - Quiet & neatly presented Unit!,2 bedrooms,1 bathroom,1 parking space
438352900,QLD,Apartment,"30/34 Surf Parade, Broadbeach",CONTACT AGENT,1 bedroom,1 bathroom,1 parking space
438352872,QLD,House,"175 Old Emu Mountain Road, Peregian Springs",$780 per week,4 bedrooms,2 bathrooms,2 parking spaces
438352856,QLD,House,"Room 3/5 Montana Street, Wilsonton Heights",$170 Weekly,1 bedroom,2 bathrooms,1 parking space
438352852,QLD,Townhouse,"4/43 SPARKES STREET, Chermside",$750 per week,3 bedrooms,2 bathrooms,1 parking space
438352796,QLD,Unit,"7/15 Cottenham Street, Fairfield",$650 per week,2 bedrooms,2 bathrooms,1 parking space
438352764,QLD,House,"21 Kensington Drive, Southside",$890 Per Week,4 bedrooms,2 bathrooms,2 parking spaces
438352720,QLD,House,"17 Kalbarrie terrace, Thornlands",580 per week,3 bedrooms,2 bathrooms,1 parking space
438352716,QLD,House,"18 Solace Street, Birtinya",$795 Weekly,4 bedrooms,2 bathrooms,2 parking spaces
438352708,QLD,House,"306/50 Mclachlan Street, Fortitude Valley",$600 per week,1 bedroom,1 bathroom,1 parking space
438352648,QLD,House,"60b Victoria Street, Kelvin Grove",$430.00PW,1 bedroom,1 bathroom,
438352640,QLD,House,"23 Vantage Place, Redbank Plains",$580 Weekly,4 bedrooms,2 bathrooms,2 parking spaces
438352604,QLD,House,"8 Elijah Crescent, Redbank",$530 per week,4 bedrooms,2 bathrooms,2 parking spaces
